query_group,query,book_id,title,authors,subjects,pdf_url,text_url,status,file,bytes,error
macro,economics,35559,"The Reconstruction of Georgia: Studies in History, Economics and Public Law, Vol. 13, No. 3, 1901","Woolley, Edwin C. (Edwin Campbell)","Reconstruction (U.S. history, 1865-1877) -- Georgia",,https://www.gutenberg.org/ebooks/35559.txt.utf-8,converted_from_text,"tmp/download/gutenberg_finance_pdfs/35559-The Reconstruction of Georgia Studies in History, Economics and Public Law, Vol. 13, No. 3, 1901.pdf",285846,
macro,economics,56018,"Business Administration: Theory, Practice and Application. [Vol. 1] Business Economics",,Accounting; Advertising; Auditing; Banks and banking -- United States; Business; Commerce; Commercial law -- United States; Economics; Insurance; Investments; Railroads -- United States; Selling,,https://www.gutenberg.org/ebooks/56018.txt.utf-8,converted_from_text,"tmp/download/gutenberg_finance_pdfs/56018-Business Administration Theory, Practice and Application. [Vol. 1] Business Economics.pdf",1268329,
macro,economics,57913,Women and Economics: A Study of the Economic Relation Between Men and Women as a Factor in Social Evolution,"Gilman, Charlotte Perkins",Women -- Economic conditions; Women -- Employment; Women -- Social and moral questions,,https://www.gutenberg.org/ebooks/57913.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/57913-Women and Economics A Study of the Economic Relation Between Men and Women as a Factor in Social Evolution.pdf,632711,
macro,economics,43800,"A Christian Directory, Part 2: Christian Economics","Baxter, Richard",Casuistry; Christian sociology,,https://www.gutenberg.org/ebooks/43800.txt.utf-8,converted_from_text,"tmp/download/gutenberg_finance_pdfs/43800-A Christian Directory, Part 2 Christian Economics.pdf",1383344,
macro,economics,50023,The Economics of the Russian Village,"Hourwich, Isaac A. (Isaac Aaronovich)",Agricultural laborers -- Russia; Land tenure -- Russia; Mir; Peasants; Thesis (Ph. D.),,https://www.gutenberg.org/ebooks/50023.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/50023-The Economics of the Russian Village.pdf,567495,
macro,economics,11262,Cyclopedia of Economics,"Vaknin, Samuel",Economics,,https://www.gutenberg.org/ebooks/11262.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/11262-Cyclopedia of Economics.pdf,25730,
macro,political economy,27698,"Principles of Political Economy, Vol. 1","Roscher, Wilhelm",Economics,https://www.gutenberg.org/files/27698/27698-pdf.pdf,https://www.gutenberg.org/ebooks/27698.txt.utf-8,downloaded_pdf,"tmp/download/gutenberg_finance_pdfs/27698-Principles of Political Economy, Vol. 1.pdf",3484211,
macro,political economy,30107,"Principles of Political Economy: Abridged with Critical, Bibliographical, and Explanatory Notes, and a Sketch of the History of Political Economy","Mill, John Stuart",Economics,https://www.gutenberg.org/files/30107/30107-pdf.pdf,https://www.gutenberg.org/ebooks/30107.txt.utf-8,downloaded_pdf,"tmp/download/gutenberg_finance_pdfs/30107-Principles of Political Economy Abridged with Critical, Bibliographical, and Explanatory Notes, and a Sketch of the Hist.pdf",5972845,
macro,political economy,38655,"Principles of Political Economy, Vol. 2","Roscher, Wilhelm",Economics,,https://www.gutenberg.org/ebooks/38655.txt.utf-8,converted_from_text,"tmp/download/gutenberg_finance_pdfs/38655-Principles of Political Economy, Vol. 2.pdf",1581954,
macro,political economy,33310,"On The Principles of Political Economy, and Taxation","Ricardo, David",Economics,,https://www.gutenberg.org/ebooks/33310.txt.utf-8,converted_from_text,"tmp/download/gutenberg_finance_pdfs/33310-On The Principles of Political Economy, and Taxation.pdf",861345,
macro,political economy,46423,A Contribution to the Critique of Political Economy,"Marx, Karl",Economics; Marxian economics,,https://www.gutenberg.org/ebooks/46423.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/46423-A Contribution to the Critique of Political Economy.pdf,643270,
macro,political economy,36541,"Unto This Last, and Other Essays on Political Economy","Ruskin, John",Art; Economics,,https://www.gutenberg.org/ebooks/36541.txt.utf-8,converted_from_text,"tmp/download/gutenberg_finance_pdfs/36541-Unto This Last, and Other Essays on Political Economy.pdf",886601,
macro,political economy,41936,Principles of Political Economy,"Perry, Arthur Latham",Economics,,https://www.gutenberg.org/ebooks/41936.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/41936-Principles of Political Economy.pdf,1461270,
macro,political economy,15939,Definition & Reality in the General Theory of Political Economy,"Cool, Thomas (Thomas Herman Anthonius Maria)",Economics; Political science,,https://www.gutenberg.org/ebooks/15939.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/15939-Definition & Reality in the General Theory of Political Economy.pdf,1189704,
macro,political economy,76432,History and criticism of the labor theory of value in English political economy,"Whitaker, Albert C. (Albert Conser)",Economics -- Great Britain -- History; Labor theory of value -- Great Britain -- History,,https://www.gutenberg.org/ebooks/76432.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/76432-History and criticism of the labor theory of value in English political economy.pdf,479520,
macro,political economy,45002,"Harmonies of Political Economy: Translated from the Third French Edition, with a Notice of the Life and Writings of the Author","Bastiat, Frédéric",Economics,,https://www.gutenberg.org/ebooks/45002.txt.utf-8,converted_from_text,"tmp/download/gutenberg_finance_pdfs/45002-Harmonies of Political Economy Translated from the Third French Edition, with a Notice of the Life and Writings of the A.pdf",1750679,
macro,money banking,35120,Readings in Money and Banking: Selected and Adapted,"Phillips, Chester Arthur",Banks and banking; Banks and banking -- United States; Money,,https://www.gutenberg.org/ebooks/35120.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/35120-Readings in Money and Banking Selected and Adapted.pdf,2295198,
macro,money banking,63449,"The Story of the Bank of England: (A History of English Banking, and a Sketch of the Money Market)","Warren, Henry",Bank of England -- History; Banks and banking -- England,,https://www.gutenberg.org/ebooks/63449.txt.utf-8,converted_from_text,"tmp/download/gutenberg_finance_pdfs/63449-The Story of the Bank of England (A History of English Banking, and a Sketch of the Money Market).pdf",396105,
macro,public finance,,,,,,,search_error,,,The read operation timed out
tax,taxation,,,,,,,search_error,,,The read operation timed out
tax,taxes,,,,,,,search_error,,,The read operation timed out
tax,income tax,,,,,,,search_error,,,The read operation timed out
tax,tariff,,,,,,,search_error,,,The read operation timed out
asset_allocation,investment,,,,,,,search_error,,,The read operation timed out
asset_allocation,portfolio,40984,"Christian Mystery: A Chinese Tale, Found in the Portfolio of a Portuguese Friar",Anonymous,Christianity -- Controversial literature,,https://www.gutenberg.org/ebooks/40984.txt.utf-8,converted_from_text,"tmp/download/gutenberg_finance_pdfs/40984-Christian Mystery A Chinese Tale, Found in the Portfolio of a Portuguese Friar.pdf",39615,
risk_management,risk,72301,"Lead poisoning and lead absorption : $b The symptoms, pathology and prevention, with special reference to their industrial origin, and an account of the principal processes involving risk","Legge, Thomas Morison, Sir; Goadby, Kenneth Weldon",Lead poisoning,,https://www.gutenberg.org/ebooks/72301.txt.utf-8,converted_from_text,"tmp/download/gutenberg_finance_pdfs/72301-Lead poisoning and lead absorption $b The symptoms, pathology and prevention, with special reference to their industrial.pdf",1013840,
risk_management,risk,29915,About sugar buying for jobbers : $b how you can lessen business risks by trading in refined sugar futures,"Dyer, B. W. (Benjamin Wheeler)",Sugar,,https://www.gutenberg.org/ebooks/29915.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/29915-About sugar buying for jobbers $b how you can lessen business risks by trading in refined sugar futures.pdf,109806,
risk_management,risk,35322,The Thistle and the Cedar of Lebanon,"Risk Allah, Habeeb","Europe -- Description and travel; Risk Allah, Habeeb -- Travel -- Europe; Risk Allah, Habeeb -- Travel -- Syria; Syria -- Description and travel",,https://www.gutenberg.org/ebooks/35322.txt.utf-8,converted_from_text,tmp/download/gutenberg_finance_pdfs/35322-The Thistle and the Cedar of Lebanon.pdf,875507,
risk_management,risk,50134,"Running the Blockade: A Personal Narrative of Adventures, Risks, and Escapes During the American Civil War","Taylor, Thomas E.","Taylor, Thomas E.; United States -- History -- Civil War, 1861-1865 -- Blockades",,https://www.gutenberg.org/ebooks/50134.txt.utf-8,converted_from_text,"tmp/download/gutenberg_finance_pdfs/50134-Running the Blockade A Personal Narrative of Adventures, Risks, and Escapes During the American Civil War.pdf",300230,
